*HASH_VALUE	faction	name	da	daa	ia	member	mda	mia
_7AFE3D837B2009EF	tribe_renegades	Abtrünnigen	die	den	einer der	Mitglieder der Abtrünnigen	die	einige
_3D1FC91565CB65F5	tribe_restorers	Aufpasser	die	den	ein	Aufpasser	die	einige
_1DE3F3E192C07A88	tribe_root_tappers	Unterwasserwurzel-Extrahierer	die	den	ein	Unterwasserwurzel-Extrahierer	die	einige
_D8154262BC9AADAE	tribe_sacred_sap	Heiliger Sap	der	dem	einer des	Mitglieder des Heiligen Saps	die	einige
_154227EA1B939C8E	tribe_sap_gleaners	Sapsammler	die	den	ein	Sapsammler	die	einige
_48A6B980052E65DF	tribe_sap_slaves	Sapsklaven	die	den	einer der	Sapsklaven	die	einige
_7E9F917E7D1139F8	tribe_scorchers	Enthäutete	die	den	einer der	Mitglieder der Enthäuteten	die	einige
_B819BFF3346C0F85	tribe_shadow_runners	Schattenschmuggler	die	den	ein	Schattenschmuggler	die	einige
_938B861B1593F579	tribe_siblings_of_the_weeds	Geschwister der Pflanzen	die	den	einer der	Mitglieder der Geschwister der Pflanzen	die	einige
_7758FFC63C5BB3C3	tribe_silt_sculptors	Lehmbildhauer	die	den	ein	Lehmbildhauer	die	einige
_AD3F7D06E88A34B1	tribe_slavers	Sklaventreiber	die	den	ein	Sklaventreiber	die	einige
_BF9E553529793923	tribe_smuglers	Schmuggler	die	den	ein	Schmuggler	die	einige
_BBC9FEAA5F459B84	tribe_the_arid_matis	Dörre Matis	die	den	einer der	Mitglieder von Dörre Matis	die	einige
_B07F6A1601F0E5E6	tribe_the_kuilde	Kuilde	die	den	einer der	Mitglieder der Kuilde	die	einige
_C295B382822077E7	tribe_the_slash_and_burn	Scharlachrote Söldner	die	den	einer der	Mitglieder der Scharlachroten Söldner	die	einige
_6A2B10CEED297892	tribe_tutors	Tutoren	die	den	einer der	Mitglieder der Tutoren	die	einige
_E59D6A166AEB3F9E	tribe_water_breakers	Wasserbrecher	die	den	ein	Wasserbrecher	die	einige
_EBDAEECB1DE61EBB	tribe_woven_bridles	Wüstenplünderer	die	den	ein	Wüstenplünderer	die	einige
